   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
LLNLR-299G3.1	1	5	2	0	1	0	8	2	12	27	8	13	11	3	9	6
LLPH	8	6	1	5	0	4	1	2	18	15	8	8	4	5	7	13
LLPH-AS1	7	10	6	18	9	11	13	14	21	17	8	1	9	3	5	13
LMAN1	25	24	67	44	42	24	33	36	53	31	13	18	16	7	12	29
LMAN2	76	96	118	141	89	74	101	91	57	66	31	32	30	17	25	35
LMBR1	30	51	27	56	30	24	70	35	45	44	15	16	9	7	13	14
LMBR1L	20	20	13	21	23	19	29	15	117	89	14	25	9	14	21	15
LMBRD1	40	56	56	82	64	38	104	91	68	44	8	6	5	5	7	13
LMBRD2	15	15	14	16	15	11	21	12	1	5	0	3	0	3	3	2
LMCD1	174	208	163	213	165	134	251	215	202	147	45	48	22	14	8	26
LMCD1-AS1	29	19	11	17	10	6	14	15	2	3	0	0	0	0	0	1
LMF1	17	12	17	25	19	9	38	39	6	22	4	6	0	4	3	2
LMF1-AS1	21	22	3	22	16	6	10	9	1	2	2	2	0	0	5	1
LMF2	41	68	58	63	42	40	51	45	30	33	7	4	11	6	6	6
LMLN	1848	2168	2066	2453	2699	1742	2242	1918	829	770	81	109	67	73	63	123
LMNA	1432	1963	1427	1871	788	618	1046	825	1433	1352	3747	3912	2429	2445	4699	4536
LMNB1	1246	1480	2180	2334	2315	1711	2941	2367	2558	2174	1422	1297	1337	1234	2039	2217
LMNB2	31	58	52	86	72	49	73	67	27	27	59	52	44	49	90	78
LMO1	8	11	2	8	4	4	7	8	0	5	0	0	0	0	0	0
LMO3	17	18	16	21	28	13	11	24	0	5	0	1	0	0	0	0
LMO4	1852	2326	1765	2002	1024	810	1201	925	1429	1148	1345	1324	1620	1364	1448	1502
LMO7	5555	5960	7256	6825	7654	4926	7889	6824	2851	2542	225	169	94	112	132	203
LMO7DN	1	1	0	0	0	0	2	0	14	3	0	1	0	0	0	1
LMOD2	195	277	119	122	246	150	187	138	70	44	55	54	57	38	104	77
LMOD3	43	47	61	94	50	45	51	44	24	17	0	7	0	0	0	3
LMTK2	4131	4320	4490	4794	4551	2948	4249	3353	3889	3413	2270	2260	1629	1668	2470	2461
LMTK3	5	4	4	2	3	1	1	6	9	15	3	2	1	2	3	2
LMX1B	198	293	165	279	126	100	175	148	54	70	166	161	120	122	203	209
LNP1	46	48	25	58	62	26	37	44	95	73	12	32	20	12	21	24
LNPEP	3587	3662	4997	5018	4245	2582	3378	2949	1592	1251	169	182	128	73	158	156
LNX1	19	14	11	17	9	4	13	7	1	4	2	0	4	1	0	2
LNX2	13	17	26	16	9	12	3	2	22	22	6	10	8	0	3	7
LOH12CR1	4025	4929	4274	5211	4549	3252	4759	4020	2055	1930	57	65	41	42	67	130
LONP1	17	16	9	24	6	10	8	4	40	27	18	13	15	25	30	22
LONP2	1827	1858	2345	2387	2126	1392	2808	2290	1597	1391	646	712	428	424	692	746
LONRF1	15	26	56	37	25	9	29	8	7	5	1	8	1	2	1	5
LONRF2	5	4	2	28	2	2	3	5	4	1	0	0	0	0	0	0
LONRF3	0	2	1	0	2	0	4	3	164	104	17	31	10	4	11	18
LOXHD1	94	106	57	37	50	45	84	73	20	29	0	0	1	0	0	0
LOXL1	302	562	342	344	420	362	527	474	250	247	3	2	9	5	0	11
LOXL2	14	27	16	16	10	11	14	5	11	11	4	4	0	1	4	1
LOXL3	3	9	1	12	3	3	4	2	3	4	0	0	1	1	0	1
LPAL2	2	6	7	8	6	1	7	15	12	9	0	1	0	0	1	0
LPAR1	6	6	2	1	8	7	23	24	37	25	12	21	0	2	1	3
LPAR2	0	0	0	0	0	0	0	0	0	4	2	2	8	6	11	5
LPCAT1	73	89	106	174	106	60	83	71	70	82	24	18	27	19	18	19
LPCAT2	2	0	2	0	0	0	21	0	292	273	117	65	21	49	52	88
LPCAT2BP	0	0	0	0	0	0	0	0	4	19	1	1	0	3	0	5
LPCAT3	4	0	0	3	0	0	1	0	4	6	18	18	16	15	26	28
LPCAT4	57	86	118	133	71	78	93	80	47	48	13	11	21	15	12	17
LPGAT1	2	9	6	5	7	9	1	4	5	10	10	11	1	9	8	3
LPHN1	65	102	101	106	96	62	76	62	58	73	19	26	19	29	23	31
LPHN2	59	59	415	363	19	7	173	173	446	457	1036	1059	662	663	1808	1785
LPHN3	544	657	631	530	542	306	668	588	670	574	233	218	434	480	180	232
LPIN1	1067	1240	1089	1356	1283	838	1419	1227	919	851	2418	2554	2181	2218	1999	2057
LPIN2	159	228	187	233	183	133	164	145	79	90	22	24	20	23	27	43
LPIN3	41	35	29	61	47	36	42	45	80	68	81	107	60	54	79	100
LPL	17	13	76	53	4	0	22	25	27	1	7	4	8	0	1	1
LPO	0	2	6	14	6	0	2	1	3	6	0	3	1	0	3	0
LPP	2084	2213	2090	2291	3429	2231	3383	2984	2442	1554	1678	1703	1394	1293	1580	1755
LPPR2	1617	2218	1433	1877	1677	1259	2285	1905	1280	1083	95	131	91	126	58	111
LRAT	3655	4385	3871	4188	2589	1742	2139	1817	1386	1237	75	99	9	18	16	61
LRBA	38	18	39	20	35	24	166	135	166	160	51	37	32	25	28	23
LRCH1	4892	5112	5483	5842	6439	4055	7699	6483	3227	2872	796	774	595	613	911	972
LRCH3	10394	11351	10495	11392	12606	8547	12730	10660	5919	4753	637	637	350	364	466	676
LRCH4	58	117	106	127	76	59	70	51	81	72	11	14	8	15	19	15
LRFN3	163	190	226	245	216	107	215	178	174	166	60	60	36	66	36	36
LRFN4	2	7	30	33	2	4	19	22	21	63	119	158	59	53	132	105
LRFN5	1	0	0	0	0	0	3	0	10	5	2	6	39	21	10	8
LRGUK	146	138	155	112	176	119	338	299	256	197	13	13	10	6	9	19
LRIG1	102	163	137	183	149	94	151	129	86	108	3	1	0	9	3	12
LRIG2	1241	1378	1458	1805	1341	915	1347	1065	2920	2563	980	920	703	672	653	855
LRIG3	18	23	40	52	38	29	30	25	24	16	18	18	15	15	15	16
LRIT3	0	0	0	0	0	0	2	0	55	38	9	12	2	6	16	7
LRMP	3778	3971	5633	5624	4890	3028	6453	5561	2683	2205	81	79	41	30	63	157
LRP1	1065	1353	2226	2448	752	608	2216	1568	1883	2060	4039	4601	2529	3070	4277	4023
LRP10	506	625	664	837	400	312	849	664	1619	1643	1099	1177	769	869	968	1011
LRP1B	123	133	95	99	120	69	152	133	110	87	13	8	1	1	1	4
LRP2	0	0	1	0	0	1	1	0	4	4	119	125	118	82	228	196
LRP3	345	579	216	346	188	151	143	96	95	93	35	54	15	12	28	23
LRP4	0	1	0	6	2	0	0	1	12	7	4	5	25	7	5	8
LRP4-AS1	37	45	31	31	28	17	23	22	49	34	7	5	15	8	5	10
LRP5	5754	8878	6026	7637	6656	5502	7892	6532	6764	7741	212	293	113	98	231	439
LRP6	128	145	158	232	140	102	122	130	136	138	19	14	11	10	14	16
LRPAP1	46	61	64	72	24	13	24	14	25	24	56	66	68	45	66	63
LRPPRC	16	10	32	12	11	11	12	13	35	27	84	101	84	56	91	107
LRR1	1439	1412	1033	1286	1082	691	1757	1432	860	768	615	617	412	332	598	636
LRRC1	2804	3056	3939	3815	4102	2952	4062	3396	1393	1107	833	933	474	428	1029	1088
LRRC14	94	75	45	64	46	26	77	48	430	324	481	570	397	390	564	576
LRRC16A	27544	29348	36410	39602	47448	30254	51568	44108	23384	19547	817	888	586	550	670	1378
LRRC16B	68	67	34	49	57	38	82	88	30	18	2	0	0	0	1	7
LRRC17	3786	4028	7034	7569	5717	3396	4415	3434	893	673	15	13	1	7	18	35
LRRC23	36	56	10	30	14	16	27	29	46	39	23	17	18	16	14	23
LRRC27	589	708	497	521	592	414	779	598	353	314	21	38	11	18	26	24
LRRC28	1150	1341	1225	1256	1256	863	1419	1168	607	466	128	145	89	95	143	166
LRRC3	27	35	78	71	12	19	29	20	29	43	44	38	35	39	39	37
LRRC36	23	23	15	36	20	11	27	30	20	8	3	1	0	0	3	2
LRRC37A	13	11	20	18	16	9	12	6	41	28	14	13	23	23	7	11
LRRC37A11P	0	0	1	4	0	0	7	2	186	102	78	72	60	23	25	39
LRRC37A17P	14	12	10	18	7	8	16	3	22	14	34	41	7	19	34	50
LRRC37A2	103	97	110	120	109	60	70	62	122	111	58	59	73	71	45	46
LRRC37A7P	0	0	0	0	0	0	5	0	9	2	20	11	11	9	17	34
LRRC37B	242	300	383	317	417	253	469	404	311	151	129	89	91	81	121	137
LRRC37BP1	52	52	89	58	43	27	67	48	337	332	57	56	79	91	49	49
LRRC38	7	12	6	9	6	2	6	5	9	23	1	0	0	0	0	0
LRRC3B	441	561	630	680	583	343	722	644	229	156	7	7	0	0	1	13
LRRC3DN	3	10	42	25	6	4	15	7	14	2	17	23	28	26	27	15
LRRC4	51	75	75	87	91	51	71	65	40	61	7	5	5	4	2	10
LRRC40	14	10	30	20	26	11	11	21	9	8	2	4	3	5	4	3
LRRC41	8	7	24	15	13	19	14	7	21	22	13	6	7	15	13	12
LRRC42	2396	2706	2212	2603	2230	1442	5118	4149	1906	1648	818	820	300	206	665	720
LRRC43	59	93	72	70	68	57	64	57	66	88	8	9	3	1	2	6
LRRC45	532	836	385	633	341	295	290	240	130	169	100	102	105	112	158	155
LRRC46	270	339	293	218	233	173	304	255	155	125	14	13	4	8	12	14
LRRC47	35	44	28	33	19	23	21	15	17	20	14	8	23	22	12	11
LRRC48	167	180	161	117	139	86	138	140	155	179	56	27	32	29	28	46
LRRC49	1733	1838	2275	2688	2224	1237	2016	1705	568	420	59	62	50	54	28	56
LRRC4B	8	23	15	14	21	14	14	9	26	32	0	0	0	1	0	2
LRRC56	23	29	37	13	19	13	13	18	52	34	21	38	24	59	45	40
LRRC57	7	3	12	8	8	4	6	1	9	10	5	2	5	1	1	3
LRRC59	52	89	49	65	51	59	66	52	56	72	31	34	30	24	43	41
LRRC6	8	0	7	10	10	1	7	8	16	16	1	0	0	0	1	0
LRRC61	708	1149	598	725	509	373	522	365	132	199	460	444	266	267	425	394
LRRC63	0	1	1	0	0	0	3	0	4	13	4	1	0	4	2	3
LRRC69	18	31	13	10	5	4	4	6	15	25	37	29	17	18	25	28
LRRC7	3168	3315	3694	3625	4479	2594	4497	3856	3153	2207	29	41	15	13	38	140
LRRC70	1	0	0	0	4	0	0	0	24	23	1	1	4	3	4	3
LRRC71	0	0	0	0	0	0	2	2	18	1	5	9	8	9	6	11
LRRC75A-AS1	415	474	472	506	362	254	758	616	1571	1398	4284	4086	3537	3049	4669	4717
LRRC8A	11284	15462	11177	13061	13616	9847	14121	11772	9247	9153	1628	1653	1123	1094	1478	1897
LRRC8B	10783	10822	14736	14317	15676	9447	14028	12115	2583	1934	288	282	259	296	407	547
LRRC8C	1265	1395	1990	2365	2144	1270	2963	2504	1063	692	104	101	32	24	24	71
LRRC8D	2930	3207	3600	3801	3509	2273	4462	3834	1724	1457	581	604	819	624	846	969
LRRC8E	489	556	382	475	537	372	547	460	193	186	12	10	3	3	6	8
LRRC9	0	1	0	0	0	0	0	0	7	3	1	1	3	0	10	2
LRRCC1	165	186	238	253	197	118	294	260	234	207	329	353	256	212	391	353
LRRFIP1	5072	5594	5487	6034	5958	3969	5312	4460	2469	2060	3010	3177	1762	1652	3748	3783
LRRFIP2	18	29	36	46	27	11	25	20	46	53	12	15	4	3	6	23
LRRIQ1	152	130	164	215	174	145	247	174	165	124	5	12	1	0	4	11
LRRIQ4	0	0	7	0	0	0	6	0	41	49	3	6	4	1	3	2
LRRK1	2529	3109	2191	2326	2350	1739	3263	2772	2135	1728	26	55	40	35	45	105
LRRK2	0	0	2	2	0	0	2	1	1	6	15	3	44	41	9	5
LRRN1	272	310	224	363	414	265	390	267	165	107	20	44	33	43	29	31
LRRN3	1	1	2	7	0	0	4	5	8	2	9	11	21	8	9	16
LRRN4	32	54	33	68	53	39	35	27	23	22	0	0	0	0	0	0
LRRTM3	10	12	20	12	13	11	7	21	4	15	5	2	0	0	0	4
LRRTM4	44	71	85	99	62	53	66	63	58	55	1	0	2	1	2	2
LRSAM1	107	115	127	166	102	69	130	107	181	137	137	182	137	125	159	160
LRTM2	0	5	3	0	1	0	8	1	0	20	13	4	9	9	2	0
LRTOMT	227	344	125	173	184	163	274	235	293	276	91	70	32	62	78	86
LRWD1	3419	5019	2354	2882	2468	1885	3147	2598	1296	1308	447	507	317	307	414	489
LSG1	4	3	2	2	1	4	8	1	45	31	9	8	12	12	7	10
LSM10	10	9	13	10	8	1	6	8	19	27	9	7	3	3	5	3
LSM11	5021	5193	4613	4442	5104	3396	5263	4439	1782	1270	162	187	146	145	176	276
LSM12	4	3	3	1	1	2	1	1	7	10	7	7	8	11	4	4
LSM14A	3147	3464	3696	4514	4025	2525	5262	4329	4868	4184	2169	2200	1674	1483	2683	2946
LSM14B	2162	2855	2179	2983	3020	2355	3496	2767	2053	2169	246	255	256	214	266	344
LSM2	6	13	11	10	4	2	4	0	23	10	18	19	11	8	17	20
LSM3	1377	1620	1369	1419	442	252	459	358	525	464	952	964	795	624	1058	1099
LSM4	12	4	8	4	7	2	3	6	2	3	26	26	28	8	34	28
LSM5	8	3	7	7	4	1	2	3	6	0	10	4	15	8	16	26
LSM6	642	686	688	843	205	135	212	139	128	114	346	288	249	262	331	403
LSM7	8	17	41	27	18	7	32	13	17	15	11	20	17	8	16	24
LSM8	301	343	423	383	300	195	295	215	371	300	522	490	458	371	561	591
LSMEM1	53	51	22	39	30	10	22	23	89	71	25	28	30	26	31	26
LSMEM2	0	0	0	4	1	0	4	2	29	10	6	16	12	12	24	24
LSP1	2	1	11	0	1	0	2	4	5	9	4	2	2	0	0	0
LSR	2949	3938	2645	3009	2788	2104	3903	3132	2641	2625	1817	1988	1489	1401	1929	1952
LSS	45	64	74	95	65	44	92	77	24	35	10	9	10	7	28	24
LTA	0	0	0	0	0	0	0	0	10	22	10	12	1	2	6	12
LTA4H	13	21	54	35	63	35	58	45	14	25	10	4	5	5	6	11
LTB4R	69	111	81	87	47	29	38	44	161	108	91	108	95	114	131	135
LTB4R2	16	15	14	7	7	5	6	5	23	18	16	24	28	26	17	25
LTBP1	2076	2518	2624	3554	3249	2238	3921	3282	2391	1965	219	221	134	160	284	370
LTBP2	33	39	27	41	20	29	33	15	13	29	3	1	0	0	0	2
LTBP3	2	13	12	19	7	8	9	9	9	6	4	3	0	0	1	1
LTBP4	1309	1859	1368	1485	1326	1059	1931	1528	2176	2032	450	437	326	313	430	424
LTBR	17	17	174	184	3	2	92	83	86	44	211	192	124	146	181	180
LTK	5	14	11	6	6	0	3	3	3	2	0	0	0	0	0	1
LTN1	20	30	64	62	58	37	36	26	15	13	7	13	7	7	8	8
LTV1	2851	2899	2961	3394	2820	1809	3126	2635	3238	2586	997	1144	685	727	1067	1198
LUC7L	2	2	6	3	1	1	4	1	14	12	14	10	5	10	15	9
LUC7L3	1561	1624	2697	2929	2204	1422	2275	1646	4992	3691	2259	2426	1931	1658	2338	2517
LURAP1	55	66	62	47	53	43	70	52	24	45	29	36	43	16	38	43
LURAP1L	10	10	50	29	0	3	45	41	15	33	26	38	14	25	0	0
LUZP1	20	35	34	53	23	27	28	14	121	117	23	36	23	27	30	28
LUZP2	455	456	407	500	464	275	418	309	147	117	4	10	5	0	2	3
LUZP4	0	0	0	0	0	0	0	0	52	26	52	45	22	18	13	20
LY6E	215	300	218	342	82	53	165	145	171	211	711	777	584	496	998	1018
LY6G5B	3	5	0	7	0	0	5	4	28	25	20	23	32	23	40	28
LY6K	57	77	35	30	14	13	29	34	6	13	2	1	3	6	0	2
LY9	0	1	1	3	0	0	0	1	16	1	11	15	15	17	18	21
LYAR	37	34	69	79	29	21	10	9	33	25	10	18	12	4	9	12
LYN	13	21	31	32	16	11	54	32	101	64	3876	3930	4044	3752	4583	4486
LYPD1	49	60	45	56	53	22	40	50	23	20	0	0	0	0	1	0
LYPD3	1	1	0	0	1	0	0	0	1	1	4	4	12	3	7	4
LYPD4	6	8	4	1	18	4	12	3	3	3	0	0	0	0	0	0
LYPD6	1816	2140	1876	1714	1816	1136	2363	1973	580	590	14	9	9	9	19	31
LYPD6B	31	42	1	46	15	11	34	11	12	14	74	99	59	56	140	150
LYPLA1	5	2	17	0	5	1	8	4	8	12	24	22	26	16	20	20
LYPLA1P3	43	33	2	4	4	4	30	15	37	34	127	168	113	89	105	148
LYPLA2	601	731	398	567	189	138	276	214	246	185	755	690	608	559	861	1069
LYPLAL1	897	957	1453	1463	632	385	633	510	96	98	140	128	109	127	176	152
LYRM1	492	534	490	429	267	178	322	268	267	152	229	196	197	204	191	212
LYRM2	7	8	6	5	1	4	3	2	7	8	7	7	11	4	0	12
LYRM4	11	6	3	6	6	3	10	5	21	7	7	9	6	7	6	4
LYRM5	1179	1181	1077	1073	659	450	1015	801	305	252	69	71	38	23	60	82
LYRM7	72	66	35	31	18	8	19	21	90	59	212	182	233	141	297	279
LYSMD1	0	3	4	4	5	2	2	4	27	16	3	2	0	3	1	3
LYSMD3	10	9	9	16	14	6	4	2	5	12	3	3	6	0	4	8
LYST	19	20	39	39	34	18	36	27	20	18	6	2	2	3	0	3
LYZ	6	10	9	5	2	3	6	1	46	32	17	9	44	68	12	8
LZIC	22	19	28	29	12	15	16	11	22	16	3	5	8	3	9	6
LZTFL1	4	5	2	16	4	2	4	4	4	2	1	1	0	2	0	1
LZTR1	239	357	208	273	170	121	279	187	125	119	296	324	317	315	458	472
LZTS2	871	1173	704	1018	481	429	436	365	275	234	201	247	161	190	164	179
M1AP	18	16	8	19	26	18	26	56	4	14	1	4	3	0	0	5
M6PR	5	15	21	39	15	12	11	14	20	11	4	5	6	6	4	6
MAATS1	5	3	8	15	5	3	8	15	7	22	5	8	11	4	0	4
MAB21L2	541	715	670	581	723	595	944	792	307	312	12	18	18	7	20	22
MAB21L3	0	0	5	0	0	0	0	0	0	11	18	14	12	12	5	4
MACC1	22	26	37	25	50	22	29	21	28	23	0	1	1	1	0	0
MACF1	5886	6476	9684	9361	5950	3679	4113	3477	2779	2073	3789	4005	4619	4631	3652	3903
MACROD1	7	12	1	3	2	1	5	5	0	4	3	0	1	1	4	1
MACROD2	262	290	340	330	291	218	244	218	73	84	9	11	6	7	11	3
MAD1L1	51	64	31	69	32	42	100	91	116	138	10	19	14	9	24	15
MAD2L1	51	61	184	125	128	72	151	98	68	37	10	16	10	28	27	28
MAD2L1BP	1078	1310	954	1063	732	449	892	619	6858	6149	753	862	409	385	658	911
MAD2L2	13	8	15	9	5	4	6	6	29	14	8	11	9	2	11	11
MADCAM1	3	8	3	8	2	0	8	3	37	30	4	8	3	6	5	4
MADD	17795	20961	15509	17661	18153	12464	22043	18429	9360	8165	636	718	418	638	615	967
MAEA	4558	6793	3921	4546	3976	3120	5080	3907	2666	2829	1281	1202	1036	1082	1599	1852
MAEL	11683	12464	11672	11688	11271	6962	13234	11194	3592	2880	699	730	461	456	471	593
MAF1	1744	2345	1108	1257	921	684	1021	801	716	701	1667	1682	1117	1104	1711	1774
MAFF	203	212	247	403	147	127	119	103	328	328	157	159	266	325	75	123
MAFG	43	64	67	74	31	34	31	22	16	18	13	13	17	19	23	14
MAFG-AS1	289	294	155	291	193	182	210	172	92	127	20	19	28	28	20	21
MAFK	396	470	379	430	299	275	398	297	117	170	100	113	97	91	114	119
MAG	0	0	6	14	0	1	3	2	24	5	80	101	57	52	65	87
MAGEA11	0	2	0	0	0	1	0	1	61	62	4	6	2	0	0	3
MAGEA12	0	0	0	0	0	0	1	0	40	23	0	2	0	0	0	1
MAGEA2B	0	0	0	0	0	0	1	0	25	21	0	0	0	0	0	0
MAGEA3	1	0	0	0	0	0	1	0	14	18	0	1	0	0	0	0
MAGEA4	0	1	0	0	0	2	87	0	2203	1932	494	520	296	245	467	549
MAGEA6	0	0	0	0	0	0	30	1	1441	1149	13	10	2	1	4	55
MAGEA8	7	14	5	0	3	1	2	3	12	25	7	4	0	3	6	6
MAGEB1	27	44	15	1	55	28	73	55	229	194	86	97	51	40	46	71
MAGEB10	0	0	13	0	2	2	3	1	20	32	12	9	1	0	3	3
MAGEB16	28	32	44	29	34	21	18	33	37	45	5	4	1	2	13	3
MAGEB17	7	14	4	4	8	4	23	9	44	30	0	4	2	7	2	2
MAGEB2	9	11	3	0	2	0	25	9	940	699	277	264	200	199	235	245
MAGEB3	0	0	0	0	0	0	7	0	237	196	5	16	9	2	2	19
MAGEB5	4	7	8	0	2	4	11	5	10	0	0	0	0	0	0	0
MAGEB6	1	2	0	0	3	1	0	2	0	9	6	11	3	2	3	4
MAGEB6P1	9	9	19	23	13	5	15	7	21	23	3	2	0	4	1	7
MAGEC1	29	19	13	9	17	15	15	7	55	25	78	116	37	21	64	88
MAGED1	133	160	281	371	75	36	607	445	1163	949	656	627	500	539	544	633
MAGED2	372	418	816	1057	80	57	373	328	366	277	305	299	162	192	123	186
MAGEE1	263	313	414	377	463	328	361	310	122	92	4	2	4	1	0	3
MAGEH1	6	2	15	6	0	0	23	26	26	31	20	29	10	14	7	11
MAGI1	29	43	51	54	44	35	54	47	43	39	12	24	17	14	17	32
MAGI1-AS1	0	0	0	0	0	0	1	0	13	0	11	4	24	11	6	9
MAGI2	69	36	46	63	53	27	87	75	67	49	0	2	0	0	3	4
MAGI2-AS3	4241	4399	5382	5844	5448	3312	5541	4578	1643	1156	26	23	3	0	7	72
MAGI3	984	1107	1110	1370	1234	784	987	919	443	449	546	552	434	412	671	747
MAGIX	21	18	3	14	6	4	10	6	19	5	3	4	7	0	1	9
MAGOH	12	30	50	58	63	41	57	34	29	29	5	7	6	6	8	16
MAGT1	11	16	9	9	11	11	17	14	20	7	4	5	6	5	12	7
MAK	34	32	41	28	37	22	35	39	63	54	1	4	0	0	0	3
MAK16	2295	2229	2133	2401	2311	1462	2666	2074	3213	2561	1192	1281	926	877	1655	1781
MAL	0	0	0	0	0	0	1	1	0	3	25	18	24	14	24	18
MAL2	714	730	852	932	1162	691	1441	1235	399	307	158	159	83	72	195	191
MALAT1	2025	1962	9982	9483	1060	626	1704	1324	4405	3237	19241	18466	31471	25105	20548	23781
MALRD1	938	1107	924	994	988	602	1071	822	601	390	37	25	6	1	9	25
MALSU1	875	1276	623	765	298	206	401	243	1191	1172	635	625	425	346	643	558
MALT1	2025	2146	2154	2090	1419	926	1312	1105	901	705	512	536	319	277	428	467
MAMDC2	97	104	73	124	112	60	113	97	53	75	10	6	1	4	0	9
MAMDC4	25	29	48	59	7	1	10	13	38	49	78	119	141	158	101	131
MAML1	1709	1956	1422	1783	1498	1114	1208	1034	1444	1576	1755	1933	1405	1401	1762	1879
MAML2	14	19	35	28	18	15	28	18	14	16	1	0	0	0	0	1
MAMLD1	61	65	133	126	22	6	73	72	54	82	14	12	0	1	2	3
MAMSTR	1	7	2	13	4	2	6	2	1	3	0	0	0	0	0	0
MAN1A1	8	5	10	8	10	7	15	12	27	11	5	1	0	1	1	4
MAN1A2	1690	1658	2082	1933	1664	1049	2052	1680	2007	1561	1785	1717	1701	1490	1932	1894
MAN1B1	370	499	237	328	103	66	166	146	443	350	400	435	413	333	465	510
MAN1C1	621	640	568	519	465	340	494	385	395	376	344	366	881	811	166	180
MAN2A1	1247	1258	1985	2107	1577	923	1962	1656	1930	1614	1422	1491	1115	1049	1471	1608
MAN2A2	1599	1956	1318	1208	1019	819	1257	1091	697	656	417	466	320	341	491	561
MAN2B2	265	314	242	251	129	91	231	171	193	173	374	375	315	342	472	355
MANBA	0	1	1	0	0	0	0	0	16	3	4	0	2	1	7	5
MANBAL	384	563	217	290	177	98	186	169	577	568	369	445	320	296	382	392
MANEA	215	190	374	270	258	109	324	243	1158	943	440	437	251	184	390	460
MANEAL	1	9	1	2	6	0	49	6	1835	1568	66	93	43	37	48	126
MANF	828	1005	818	940	1133	804	2158	1749	1658	1435	795	823	875	807	737	758
MANSC1	10	23	16	23	16	10	24	15	11	9	3	1	2	0	3	3
MAOA	4	2	0	27	1	2	12	3	24	23	107	94	20	36	47	43
MAP10	89	86	122	134	139	92	135	133	92	55	11	8	12	6	8	12
MAP1A	2828	2965	2751	2765	2652	1659	2660	2559	2162	1827	336	406	226	217	164	206
MAP1B	580	542	2528	2148	1212	718	697	521	4358	3551	615	642	669	604	233	361
MAP1LC3A	180	211	191	188	63	47	92	92	138	108	40	40	25	31	27	22
MAP1LC3B	3251	3245	4683	4878	3905	2431	3462	2724	12888	9659	1826	1843	1393	1253	1767	2132
MAP1LC3B2	454	518	320	353	422	267	531	468	1596	1315	334	345	151	138	217	278
MAP1S	8596	14297	7725	11072	4349	3735	4077	3176	3517	3518	1061	1088	657	735	942	974
MAP2	8	3	38	30	5	1	17	9	45	36	25	13	0	0	0	7
MAP2K1	12873	13696	18399	20171	24103	15209	34273	28655	6944	5478	1295	1073	846	778	1479	1687
MAP2K1P1	16	15	12	12	14	11	42	29	12	11	0	3	0	1	2	3
MAP2K2	30	54	38	38	18	11	20	14	17	22	16	27	11	27	23	18
MAP2K3	1926	2305	1480	1800	1891	1465	1931	1689	882	840	180	177	179	155	205	313
MAP2K4	1260	1373	1036	1273	1094	661	1217	1043	1113	880	1057	1016	772	610	846	1037
MAP2K5	699	832	649	726	680	472	859	716	428	265	137	156	114	104	160	180
MAP2K6	648	729	632	895	602	368	673	624	404	417	40	31	45	32	30	36
MAP2K7	2736	3281	2546	3381	2582	2021	2950	2312	1466	1375	806	877	579	550	877	852
MAP3K1	240	190	101	85	86	53	189	112	1736	1398	826	827	593	524	760	805
MAP3K10	568	777	605	692	673	473	630	535	434	373	70	105	102	49	81	89
MAP3K11	9	15	13	16	10	11	11	9	7	17	12	9	4	9	4	12
MAP3K12	2	5	6	1	2	6	6	3	22	12	3	6	1	4	5	7
MAP3K13	186	213	358	275	145	120	198	159	820	667	282	249	232	172	242	273
MAP3K14-AS1	19	12	47	18	21	9	44	37	28	17	5	8	7	6	4	6
MAP3K15	34	52	48	48	56	53	110	89	83	88	8	17	0	3	2	4
MAP3K2	3	3	5	3	1	3	3	2	9	7	6	6	10	6	7	8
MAP3K3	1885	2222	1473	1785	1711	1281	2061	1661	1226	1018	144	193	73	177	79	142
MAP3K4	2807	3214	2880	3523	3892	2558	4581	3861	2480	1878	1103	1094	1159	1107	1107	1050
MAP3K5	7	12	7	12	8	3	18	12	12	13	3	0	2	3	3	2
MAP3K6	6	10	6	11	4	1	2	3	7	6	0	2	2	1	0	3
MAP3K7	4	4	4	3	4	2	2	7	37	27	5	13	10	12	8	9
MAP3K7CL	2981	3335	2736	2837	3041	1939	4522	3567	1799	1391	31	25	2	10	17	63
MAP3K8	0	1	0	3	0	0	18	7	343	289	162	186	248	230	142	153
MAP3K9	22	33	32	34	25	14	27	16	33	31	2	8	2	3	12	6
MAP4	171	250	240	266	213	160	206	199	146	160	132	154	100	97	157	150
MAP4K2	17	19	15	14	10	10	23	16	18	10	5	3	7	3	4	6
MAP4K3	20	40	53	46	70	39	49	43	43	23	22	4	10	11	9	14
MAP4K4	3100	3572	3672	4081	4761	3305	3559	2811	2213	2032	2432	2414	1583	1540	2083	2342
MAP4K5	11	13	25	17	9	19	13	11	9	9	10	10	7	9	6	3
MAP6D1	12	15	12	17	13	13	10	11	4	1	3	1	0	1	2	1
MAP7	38	24	38	38	34	25	43	22	32	36	8	9	5	4	13	12
MAP7D1	5324	6924	3657	4931	4671	3717	4361	3504	2158	2034	584	653	508	594	480	571
MAP7D2	37	43	28	49	19	14	23	12	25	24	4	3	1	0	0	3
MAP7D3	6	4	13	17	9	7	7	5	9	17	8	9	7	2	5	5
MAP9	14	15	30	33	17	5	14	9	19	7	0	4	2	0	0	2
MAPK1	25	32	30	54	25	11	32	17	62	64	22	39	22	24	23	30
